var,coef,std_err,t,p_value,lower_ci,upper_ci
nearest_station_name_BL14 Phahon Yothin MRT,1803542.5480349648,241017.75694132474,7.483027686105441,7.836276283608895e-14,1331102.7122840162,2275982.383785913
nearest_station_name_BL15 Lat Phrao MRT,1572347.282531523,201320.0251059241,7.810188190192385,6.2472832866196965e-15,1177722.418366123,1966972.1466969228
nearest_station_name_BL16 Ratchadaphisek MRT,875792.0061345331,171815.32345789543,5.097286950364192,3.504732169984709e-07,539001.8699052532,1212582.142363813
nearest_station_name_BL17 Sutthisan MRT,1056739.0776457707,146682.32895656402,7.204269833748653,6.230373118291442e-13,769214.3065282787,1344263.8487632629
nearest_station_name_BL18 Huai Khwang MRT,893243.810821456,121884.88521936795,7.328585568372971,2.4946118250453936e-13,654326.6626232013,1132160.9590197108
nearest_station_name_BL19 Thailand Cultural Centre MRT,1738743.877926476,156309.78942301063,11.123704307610772,1.38226980422119e-28,1432347.4854845267,2045140.2703684254
nearest_station_name_BL20 Phra Ram 9 MRT,1509259.9240817162,139503.11811295935,10.818825733053714,3.879391957079307e-27,1235807.747593008,1782712.1005704245
nearest_station_name_BL21 Phetchaburi MRT,1792368.5529890303,231753.05527070048,7.733958678108661,1.1367035292879822e-14,1338089.2635442894,2246647.842433771
nearest_station_name_BL22 Sukhumvit MRT,2352105.6610999154,180426.3525271513,13.036375386161847,1.4983384534586852e-38,1998436.2989963517,2705775.023203479
nearest_station_name_BL23 Queen Sirikit National Convention Centre MRT,2187188.300593418,190438.15349296108,11.485032071970076,2.3671089227732828e-30,1813893.9379758472,2560482.663210989
nearest_station_name_BL24 Khlong Toei MRT,1783716.1769296415,342058.9720697745,5.214645200318827,1.8762550305957827e-07,1113216.6808235338,2454215.6730357492
nearest_station_name_BL25 Lumphini MRT,783463.7204829303,502024.4377664797,1.560608730460576,0.1186458217034589,-200597.97659401188,1767525.4175598724
nearest_station_name_BL26 Silom MRT,3448665.6684771455,499691.5603739261,6.901588783881923,5.434969965929983e-12,2469176.846968178,4428154.489986112
nearest_station_name_BL27 Sam Yan MRT,1273266.350876237,334006.0617900058,3.8121055170452474,0.00013856483210570247,618552.0635372046,1927980.6382152694
nearest_station_name_BL28 Hua Lamphong MRT,2749503.3815273847,433172.82713630865,6.3473588583666745,2.2795718794011232e-10,1900403.7056314182,3598603.0574233513
nearest_station_name_BL32 Itsaraphap MRT,663622.0316032865,1404452.857836898,0.4725128564481545,0.6365704531980465,-2089367.9799913648,3416612.043197938
nearest_station_name_BL33 Bang Phai MRT,1581722.9806049378,710137.3588825756,2.227347936030053,0.025944853380859282,189721.073987026,2973724.8872228498
nearest_station_name_BL34 Bang Wa MRT,831956.8252272413,272456.9100789395,3.0535354195501836,0.002267204174335425,297890.37518455146,1366023.2752699312
nearest_station_name_BL35 Phetkasem 48 MRT,710365.5295424715,236918.6635730598,2.998351918878744,0.0027207098441179335,245960.6826745302,1174770.3764104128
nearest_station_name_BL36 Phasi Charoen MRT,506663.400135073,274553.3768638632,1.8454094643545438,0.06500574908942935,-31512.516513298382,1044839.3167834444
nearest_station_name_BL37 Bang Khae MRT,818619.8072883443,354327.8151918951,2.3103458779971877,0.02088803665417167,124071.08633246785,1513168.5282442207
nearest_station_name_BL38 Lak Song MRT,1137989.1135773868,337791.7391516602,3.3689074707254987,0.0007573454206469836,475854.1912874555,1800124.035867318
nearest_station_name_E1 Chit Lom BTS,3030324.4197325986,292241.90751782927,10.369232960018655,4.504482980447375e-25,2457475.678048893,3603173.1614163043
nearest_station_name_E10 Bang Chak BTS,1491707.1738471135,214962.6606751318,6.939378072275988,4.167333196728373e-12,1070340.1949540605,1913074.1527401665
nearest_station_name_E11 Punnawithi BTS,1700563.7343342232,142513.0851224137,11.932684868014043,1.290189460093269e-32,1421211.4601198998,1979916.0085485466
nearest_station_name_E12 Udom Suk BTS,1407507.7972431025,142512.19423372333,9.876402540927527,6.609243838000488e-23,1128157.2693370674,1686858.3251491375
nearest_station_name_E13 Bang Na BTS,1455469.037374971,157545.20438028986,9.238421715850473,2.977400148026487e-20,1146651.0007898337,1764287.0739601082
nearest_station_name_E14 Bearing BTS,1401653.7069914914,106144.82853998114,13.205105950720304,1.6749669120340026e-39,1193590.0107823797,1609717.403200603
nearest_station_name_E15 Samrong BTS,795455.4189663711,118491.88181125866,6.713163862427492,2.001438817476653e-11,563189.191402233,1027721.6465305092
nearest_station_name_E16 Pu Chao BTS,655147.0363507783,157974.2792711894,4.147175346349314,3.392143699863292e-05,345487.932810434,964806.1398911226
nearest_station_name_E17 Chang Erawan BTS,679804.7165414069,160690.42690040314,4.230524055815434,2.3509945566911233e-05,364821.4561584054,994787.9769244085
nearest_station_name_E18 Royal Thai Naval Academy BTS,715091.7301622643,440479.19727960316,1.6234404134830123,0.10452489828676816,-148329.79634852672,1578513.2566730552
nearest_station_name_E19 Pak Nam BTS,218897.5334218911,217733.21437269682,1.0053474572198309,0.31475242032741513,-207900.2483731052,645695.3152168874
nearest_station_name_E2 Ploen Chit BTS,2682135.4266707627,344600.61154611065,7.783315922269828,7.719854664106895e-15,2006653.8423070223,3357617.011034503
nearest_station_name_E20 Srinagarindra BTS,-341721.6764522714,971403.937806821,-0.35178123451279253,0.7250092952428049,-2245854.8932301733,1562411.5403256305
nearest_station_name_E21 Praek Sa BTS,505721.62121281016,216654.66092912556,2.3342291324083138,0.019602229098525874,81038.00568587636,930405.236739744
nearest_station_name_E22 Sai Luat BTS,2172007.0833438532,969884.292862242,2.2394496944929445,0.025147234987458623,270852.65459023556,4073161.512097471
nearest_station_name_E23 Kheha Samut Prakan BTS,875195.1521028026,688649.1754254482,1.2708868075854531,0.20379668936608622,-474685.9000523279,2225076.2042579334
nearest_station_name_E3 Nana BTS,1590780.8509986517,195651.6934131554,8.13067765091825,4.74291115078013e-16,1207266.976031303,1974294.7259660005
nearest_station_name_E4 Asok BTS,1580685.7451995667,184253.87417404415,8.578846725938954,1.091366863935085e-17,1219513.725527783,1941857.7648713505
nearest_station_name_E5 Phrom Phong BTS,2431069.070885661,154251.98140253476,15.760374996685211,2.455650430742097e-55,2128706.36664801,2733431.775123312
nearest_station_name_E6 Thong Lo BTS,2041056.36441196,132539.54415238835,15.39960302010123,6.117669872868372e-53,1781254.093971347,2300858.634852573
nearest_station_name_E7 Ekkamai BTS,1394894.181331366,158631.33161797214,8.79330815106977,1.6759758073125539e-18,1083947.1324266088,1705841.2302361233
nearest_station_name_E8 Phra Khanong BTS,324277.71902005235,131267.0904982784,2.4703657084888713,0.013513050633318523,66969.69548878542,581585.7425513193
nearest_station_name_E9 On Nut BTS,704577.1878622504,111071.75735233688,6.343441435136585,2.3381013852020164e-10,486855.7906256056,922298.5850988951
nearest_station_name_G1/S7 Krung Thon Buri BTS,946638.8499487031,340723.03878081765,2.7783235713557444,0.005473588523969844,278758.03269687854,1614519.6672005276
nearest_station_name_G2 Charoen Nakhon BTS,2.7628570706919756e-09,2.02432111586007e-09,1.3648314237527106,0.17233488370462202,-1.2051905438119415e-09,6.7309046851958926e-09
nearest_station_name_G3 Khlong San BTS,1478910.0253184694,451710.0466163351,3.274025088431557,0.0010636559892279855,593473.9357177024,2364346.1149192364
nearest_station_name_N1 Ratchathewi BTS,2167792.6629252527,218303.0287356064,9.930199665487619,3.877870972792725e-23,1739877.9385139202,2595707.387336585
nearest_station_name_N10 Phahon Yothin 24 BTS,1401778.6565244505,318101.5199512573,4.406702164577036,1.059835480431955e-05,778240.2428195825,2025317.0702293185
nearest_station_name_N11 Ratchayothin BTS,1743124.9576104404,246645.06341423834,7.067341764237448,1.6781650552451459e-12,1259654.5497575752,2226595.3654633057
nearest_station_name_N12 Sena Nikhom BTS,958806.2868043804,249337.02115083777,3.8454228833685526,0.00012104584097869885,470059.13881806016,1447553.4347907007
nearest_station_name_N13 Kasetsart University BTS,638266.5468222823,214365.01111398396,2.9774753981791267,0.002912873386181534,218071.07273488573,1058462.0209096787
nearest_station_name_N15 Bang Bua BTS,1510180.4061482155,347039.1015649287,4.351614556798496,1.3639902468474218e-05,829918.9257361884,2190441.8865602426
nearest_station_name_N16 11th Infantry Regiment BTS,822092.2666221249,498283.3229782729,1.649849049148232,0.09900331478779098,-154636.14647401858,1798820.6797182686
nearest_station_name_N17 Wat Phra Sri Mahathat BTS,701533.2964139105,279069.2219368958,2.5138325593373527,0.01195734644495961,154505.4796746273,1248561.1131531936
nearest_station_name_N18 Phahon Yothin 59 BTS,863462.9566885247,247298.8942592149,3.4915762938408292,0.00048212596411417236,378710.9182166969,1348214.9951603524
nearest_station_name_N19 Sai Yud BTS,812570.5929738202,246700.90214633543,3.29374795918593,0.0009918372710025392,328990.7307730458,1296150.4551745947
nearest_station_name_N2 Phaya Thai BTS,2539686.4111428265,259323.79823679145,9.793495346014524,1.4949884891556018e-22,2031363.314122519,3048009.508163134
nearest_station_name_N20 Saphan Mai BTS,-624475.8646220408,976837.8637156916,-0.6392830251753983,0.5226525838389374,-2539260.5914647994,1290308.8622207176
nearest_station_name_N24 Khu Khot BTS,-454145.2182086723,969991.5408305457,-0.46819502963893367,0.6396547112443827,-2355509.873018549,1447219.436601204
nearest_station_name_N3 Victory Monument BTS,2194465.442219083,273721.65144196554,8.017142343905352,1.1957047943857274e-15,1657919.8627985488,2731011.0216396176
nearest_station_name_N4 Sanam Pao BTS,2455207.36345332,708484.0051700328,3.4654379570136973,0.0005314553777422466,1066446.3390272632,3843968.387879377
nearest_station_name_N5 Ari BTS,2763520.4014567537,269830.8292676584,10.241677754010393,1.6753980107008018e-24,2234601.5604653438,3292439.2424481637
nearest_station_name_N6 Sena Ruam BTS,1657611.823153053,236168.72972341688,7.018760803321945,2.3747316822920023e-12,1194676.9867492602,2120546.6595568457
nearest_station_name_N7 Saphan Kwai BTS,1829286.7469622986,242430.76717281147,7.545604744377728,4.8695852741792805e-14,1354077.1471485281,2304496.346776069
nearest_station_name_N8 Mo Chit BTS,834478.3593996046,344671.8599447006,2.42108061718032,0.015491055292221929,158857.11486246216,1510099.6039367472
nearest_station_name_N9 Ha Yaek Lat Phrao BTS,1647546.114959466,224548.82968430952,7.337139620258681,2.341055321565195e-13,1207388.4537131651,2087703.776205767
nearest_station_name_PP01 Khlong Bang Phai MRT,1080213.115922239,145376.67824836582,7.430442963325733,1.165364180751901e-13,795247.6641426969,1365178.567701781
nearest_station_name_PP02 Talad Bang Yai MRT,1236830.1519121341,306190.8839408051,4.039408802749485,5.396229389380458e-05,636638.8101901709,1837021.4936340973
nearest_station_name_PP03 Sam Yaek Bang Yai MRT,733680.4049579441,164316.5108407118,4.465043720829569,8.087642736720442e-06,411589.34254857304,1055771.4673673152
nearest_station_name_PP04 Bang Phlu MRT,758617.4569163792,353047.2096138152,2.148770578717225,0.03167507223263794,66578.96216394857,1450655.9516688096
nearest_station_name_PP05 Bang Rak Yai MRT,1444607.1429525353,252044.98208689992,5.731544944840301,1.0222435187009797e-08,950551.8855717499,1938662.4003333207
nearest_station_name_PP06 Bang Rak Noi Tha It MRT,532924.3853505864,320638.94866982085,1.6620700247472657,0.09652817573380025,-95587.86273993552,1161436.6334411083
nearest_station_name_PP07 Sai Ma MRT,434432.8253444026,140529.6055153001,3.091397173936448,0.001997315671146623,158968.54175654677,709897.1089322583
nearest_station_name_PP08 Phra Nang Klao Bridge MRT,546265.106728463,153224.23485679852,3.565135157888017,0.00036526257408948573,245916.97774627485,846613.2357106511
nearest_station_name_PP09 Yaek Nonthaburi 1 MRT,252285.11391737452,122570.09093597006,2.0582926225384535,0.03958633559336488,12024.83448963982,492545.3933451092
nearest_station_name_PP10 Bang Krasor MRT,-179186.40561310473,131861.16576749357,-1.3589020282822175,0.17420642415022636,-437658.9276700136,79286.11644380417
nearest_station_name_PP11 Nonthaburi Civic Center MRT,935046.7134207729,154859.50966909065,6.038032248835181,1.6121185974506883e-09,631493.1402691121,1238600.2865724338
nearest_station_name_PP12 Ministry of Public Health MRT,567308.5906175873,165595.52231362395,3.4258691460458253,0.0006151500694979464,242710.42674874456,891906.7544864301
nearest_station_name_PP13 Yaek Tiwanon MRT,113181.56578668847,131139.3783202545,0.8630631564402311,0.3881221857544497,-143876.1180137025,370239.24958707945
nearest_station_name_PP14 Wong Sawang MRT,590730.7748841487,303456.6003127407,1.9466730144453765,0.051600215658129625,-4100.860048850765,1185562.4098171482
nearest_station_name_PP15 Bang Son MRT,-239013.17321922627,273687.88200076984,-0.8733056482879061,0.3825162001406621,-775492.5582254803,297466.21178702766
nearest_station_name_RN02 SRT Chatuchak,811673.5174644652,279621.6563648478,2.9027562743759767,0.003706536153442723,263562.82602865784,1359784.2089002726
nearest_station_name_RN03 SRT Wat Samian Nari,859123.6337112023,312984.5766667956,2.744939200712846,0.006062360431618941,245615.38490180508,1472631.8825205995
nearest_station_name_RN04 SRT Bang Khen,1058095.4373616313,406174.0293148509,2.6050297680195484,0.009199402679485671,261918.44969459798,1854272.4250286645
nearest_station_name_RN06 SRT Lak Si,521742.492653081,298119.0481914585,1.7501145794548716,0.08012735140839862,-62626.542845369026,1106111.528151531
nearest_station_name_RN07 SRT Kan Kheha,-578279.502386752,345279.3547247039,-1.6748163319750828,0.09399964414670146,-1255091.550198004,98532.54542450001
nearest_station_name_RN08 SRT Don Muang,2.876671640765894e-10,1.6487521027289574e-10,1.7447569201000726,0.08105604584162851,-3.551905360816406e-11,6.10853381761343e-10
nearest_station_name_RW02 SRT Bang Son,270984.6715912278,359735.2826562901,0.7532891118999321,0.4512928581256028,-434163.69593479444,976133.0391172501
nearest_station_name_RW05 SRT Bang Bamru,639608.2069318768,338844.91311851644,1.8876134248123229,0.05910504095457812,-24591.133109813207,1303807.546973567
nearest_station_name_RW06 SRT Taling Chan,745246.3908773824,695823.7278808758,1.0710275620335954,0.28418131674923275,-618698.1245953243,2109190.9063500892
nearest_station_name_S1 Rachadamri BTS,1097290.1889192003,638126.2328874588,1.7195503528417404,0.08554327333943343,-153556.45607350185,2348136.8339119023
nearest_station_name_S10 Talat Phlu BTS,-60420.993565969984,247717.03886528395,-0.24391133465319983,0.807304190498019,-545992.6735925048,425150.6864605649
nearest_station_name_S11 Wutthakat BTS,771915.011414584,190272.66175523517,4.056888700109571,5.008567260964314e-05,398945.04352369864,1144884.9793054694
nearest_station_name_S2 Sala Daeng BTS,2374360.6055480726,584374.8077711544,4.063078308601369,4.877740451602161e-05,1228876.7967861816,3519844.4143099636
nearest_station_name_S3 Chong Nonsi BTS,1480399.331111515,397482.6458318615,3.724437649380387,0.0001967620014534064,701259.0789832314,2259539.5832397984
nearest_station_name_S4 Saint Louis BTS,1913581.052639238,357134.47312214563,5.358152731407598,8.58313494671964e-08,1213530.7577395819,2613631.347538894
nearest_station_name_S5 Surasak BTS,1078126.0364929459,366616.96360087674,2.94074236473865,0.003281313458053451,359488.2885311807,1796763.784454711
nearest_station_name_S6 Saphan Taksin BTS,2034142.4281301135,263410.13383415533,7.722339298497993,1.244677336273073e-14,1517809.3498414473,2550475.5064187795
nearest_station_name_S8 Wongwian Yai BTS,786236.9330864842,330122.73441002617,2.381650371615865,0.017252718850964927,139134.6929793551,1433339.1731936133
nearest_station_name_S9 Pho Nimit BTS,756024.1338801445,365582.95706107316,2.0679961121761083,0.0386644861318113,39413.231931841816,1472635.035828447
nearest_station_name_W1 National Stadium BTS,1907505.8483229254,395245.289226744,4.826131772638608,1.4114430394482887e-06,1132751.2331719843,2682260.4634738667
